Status,CPU,RAM,Storage,Storage type,GPU,Screen,Touch,Final Price
1,46877,8,512,1,0,14.0,0,999.0
1,46877,16,512,1,0,13.3,0,1549.0
1,46877,8,512,1,0,15.6,0,849.0
1,38391,16,512,1,0,14.0,0,699.0
1,14914,8,256,1,0,15.6,0,345.0
1,46877,16,512,1,15128,15.6,0,1519.01
1,36398,32,1000,1,25376,15.6,0,2299.0
1,46877,16,1000,1,17158,17.3,0,3099.99
1,14914,8,512,1,0,15.6,0,479.0
1,38391,16,512,1,0,15.6,0,629.01
1,28856,16,512,1,0,15.6,0,475.0
1,46877,16,1000,1,19388,15.6,0,1799.0
1,14914,8,256,1,0,15.6,0,449.0
1,36398,16,1000,1,12975,15.6,0,1299.01
1,46877,32,1000,1,19388,15.6,0,1999.0
1,46877,32,1000,1,19388,16.0,1,2729.01
1,38391,16,512,1,12975,15.6,0,859.0
1,46877,16,1000,1,19388,17.3,0,1899.0
1,13516,8,512,1,0,15.6,0,388.0
1,38391,8,256,1,0,15.6,0,499.0
1,28856,8,512,1,12975,15.6,0,944.82
1,46877,16,512,1,0,15.6,0,909.0
1,38391,16,512,1,0,14.0,0,899.01
1,46877,16,1000,1,12975,17.0,0,1999.0
1,38391,16,512,1,12975,15.6,0,1029.01
1,38391,8,512,1,0,15.6,0,509.0
1,28856,8,512,1,0,15.6,0,442.99
1,46877,32,1000,1,15128,16.0,1,2499.0
1,38391,8,256,1,0,15.6,0,849.0
1,38391,8,256,1,0,15.6,0,690.15
1,38391,8,256,1,0,14.0,1,1179.0
1,46877,32,512,1,17158,16.1,0,1499.01
1,36398,32,1000,1,22488,15.6,0,1889.0
1,36398,16,512,1,0,15.6,0,1129.0
1,38391,8,256,1,0,15.6,0,709.0
1,46877,16,512,1,0,15.6,0,889.0
1,36398,16,512,1,0,15.6,0,899.0
1,36398,16,512,1,12975,16.1,0,1399.0
1,62048,32,1000,1,19388,17.0,1,2979.01
1,46877,16,512,1,6948,14.0,0,1729.01
1,14914,8,512,1,0,14.0,0,599.0
1,46877,32,1000,1,19388,16.0,0,2499.0
1,62048,32,1000,1,39041,16.0,0,3699.01
1,38391,8,512,1,0,15.6,0,450.0
